"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"103","4831",0,0,47,9,4,1,3,9,0.299990115646931,3.05,1.934,1.18133704075502,0,0,1,0,0.05,0,0
"104","1885",0,0,70,7,0.75,1,5,25,0,1.98,1.934,1.18133704075502,0,0,0,1,0.2,0,0
"105","8071",0,0,55,9,3,0,1.6,2.56,0,2.02,1.934,1.18133704075502,0,0,1,0,-0.05,0,0
"106","9385",0,0,78,4,1.33333333333333,1,3,9,0.066561223144853,5.48,1.934,1.18133704075502,0,0.062,0.353,0.469,0.1,0,0
"107","1789",0,0,50,9,10,1,2,4,0.5,10.66,1.934,1.18133704075502,0,1,0,0,0.3,0,0
"108","5516",0,0,40,15,2,1,7,49,0,20.6,1.934,1.18133704075502,1,0.155,0.38,0.218,0.1,0,0
"109","9796",0,0,82,4,1,0,1.4,1.96,0,0.98,1.934,1.18133704075502,1,0,1,0,0,1,0.0909090909090909
"110","7063",0,0,44,9,7,0,2,4,0.5,2.48,1.934,1.18133704075502,0,0.315,0.207,0,-0.2,0,0
"111","1247",0,0,66,16,1,0,0.3,0.09,0,0.3,1.948,2.41284001840833,0,1,0,0,0.25,0,0
"112","8639",0,0,50,9,2,1,0.7,0.49,0,2.04,1.948,2.41284001840833,0,0,1,0,0,1,0.0833333333333333
"113","1839",0,0,52,9,0.833333333333333,1,0.8,0.64,0.332967032967033,1.34,1.967,2.02626675091089,0,0,0,1,-0.1,1,0.0416666666666667
"114","6321",0,0,54,7,0.5,1,0.7,0.49,0,1.68,1.948,2.41284001840833,0,0.385,0.142,0.331,-0.05,0,0
"115","5768",0,0,61,15,0.615384615384615,1,2,4,0.066561223144853,12.86,1.967,2.02626675091089,0,0,0,1,0.1,0,0
"116","1872",0,0,58,9,3,1,1.2,1.44,0,2.12,2.057,1.9987055820886,1,0.385,0.473,0,-0.35,0,0
"117","7397",0,0,59,9,1.4,1,2.3,5.29,0,0.96,1.967,2.02626675091089,1,0,0.478,0,0.1,0,0
"118","3771",0,0,65,0,1.5,0,0.2,0.04,0,0.42,1.948,2.41284001840833,0,1,0,0,-0.05,0,0
"119","1868",0,0,59,7,1.5,0,0.75,0.5625,0,1.06,1.996,2.99733933520758,0,1,0,0,0.4,1,0.882352941176471
"120","1129",0,0,63,16,1,1,1.7,2.89,0.5,0.59,1.815,2.56633223402973,1,0,1,0,-0.25,1,0.145038167938931
"121","4813",0,0,70,7,0.875,1,10,100,0,17.38,1.82,2.54436256898596,0,0,0,1,0.4,1,0.0372146118721461
"122","4368",0,0,48,7,4,1,1.45,2.1025,0,0.84,1.815,2.56633223402973,0,0,1,0,0.25,1,0.379480286738351
"123","7622",0,0,29,7,3,1,0.3,0.09,0,1.04,1.82,2.54436256898596,0,1,0,0,0.4,1,0.999
"124","4023",0,0,81,0,1.25,1,4.5,20.25,0.066561223144853,1.71,1.82,2.54436256898596,1,0.138,0.395,0.387,-0.05,0,0
"125","4353",0,0,35,9,1.33333333333333,1,0.95,0.9025,0.142655367231638,2.26,1.394,2.03838618758517,0,0,0,1,0,0,0
"126","5584",0,0,47,9,2.66666666666667,1,2.2,4.84,0.5,1.25,1.394,2.03838618758517,1,0,1,0,0.1,0,0
"127","5695",0,0,55,7,2,0,0.5,0.25,0,0.52,1.394,2.03838618758517,0,1,0,0,0,0,0
"128","9283",0,0,66,9,2.66666666666667,1,2.2,4.84,0.562867588618662,2.23,1.394,2.03838618758517,0,0,1,0,0.05,0,0
"129","7649",0,0,49,4,3,1,2,4,0,2.66,1.4,2.0651924668869,1,0,0,1,-0.05,0,0
"130","6849",0,0,89,0,1,0,0.7,0.49,0,1.16,1.397,2.03269363877001,0,1,0,0,0,0,0
"131","8732",0,0,40,9,5,1,4,16,0,11.14,1.418,2.04226623780382,0,0,0,1,0.05,0,0
"132","4161",0,0,59,9,1.5,0,1.1,1.21,0.299990115646931,2.31,1.418,2.04226623780382,1,0.125,0.375,0.125,0.05,0,0
"133","9386",0,0,35,7,5,1,1.2,1.44,0.142655367231638,2.1,1.418,2.04226623780382,0,0.333,0,0,-0.2,1,0.166666666666667
"134","7444",0,0,52,9,7,0,1.5,2.25,0,1.88,1.418,2.04226623780382,1,1,0,0,-0.25,0,0
"135","2828",0,0,41,7,9,1,4,16,0.176224264278237,1.93,1.418,2.04226623780382,0,0.211,0.065,0.089,0.1,0,0
"136","9526",0,0,44,9,8,1,0.75,0.5625,0,17.68,1.418,2.04226623780382,1,0,0,0,-0.1,0,0
"137","9747",0,0,52,7,5,1,1.2,1.44,0.299990115646931,0.79,1.418,2.04226623780382,1,0,1,0,0.05,0,0
"138","4743",0,0,49,9,3,1,0.6,0.36,0.5,1.86,1.489,0.329634207942671,0,1,0,0,0.15,0,0
"139","3960",0,0,50,9,3,1,1.2,1.44,0,3.15,1.647,0.47493759474425,0,0,1,0,-0.15,0,0
"140","1033",0,0,61,9,1,1,6,36,0,3.52,1.489,0.329634207942671,1,0,0,1,0.05,0,0
"141","2140",0,0,38,9,6,1,4,16,0,6.4,1.647,0.47493759474425,0,0.022,0.257,0.038,0.1,1,0.126582278481013
"142","9298",0,0,40,15,7,1,2,4,0.332967032967033,11.56,1.489,0.329634207942671,0,0.207,0,0.479,-0.4,0,0
"143","1821",0,0,46,9,5,1,0.5,0.25,0.823775735721763,3.2,1.489,0.329634207942671,0,1,0,0,0.05,0,0
"144","4460",0,0,49,15,1.25,1,4,16,0,14.08,1.629,2.19054558970534,1,0,0.29,0.126,0.1,0,0
"145","1506",0,0,49,16,8,1,2.5,6.25,0,3.6,1.629,2.19054558970534,1,0.257,0.061,0.485,0.05,0,0
"146","4054",0,0,50,9,3.33333333333333,1,2.1,4.41,0.332967032967033,10.96,1.629,2.19054558970534,0,0,0,1,0,0,0
"147","8455",0,0,78,7,4,1,0.98,0.9604,0.176224264278237,1.04,1.629,2.19054558970534,1,0.082,0.024,0.15,0.1,0,0
"148","7341",0,0,62,7,0.5,0,1.5,2.25,0.176224264278237,2.36,2.055,4.07525424071103,1,0,1,0,-0.65,0,0
"149","1537",0,0,85,7,1,0,0.4,0.16,0,0.5,2.055,4.07525424071103,1,0,1,0,-0.65,0,0
"150","3981",0,0,51,15,3,1,10,100,0.0571374693569678,5.56,2.055,4.07525424071103,0,0.263,0.312,0.273,0,0,0
"151","9035",0,0,50,7,7,0,1.8,3.24,0,1.76,2.055,4.07525424071103,1,1,0,0,0,0,0
"152","1418",0,0,45,9,3.25,1,2,4,0,2.58,2.055,4.07525424071103,1,0,0,1,0,0,0
"153","8626",0,0,51,9,2,0,0.3,0.09,0,1.58,1.981,2.1156950481765,0,1,0,0,-0.05,0,0
"154","1906",0,0,47,7,1,1,0.6,0.36,0.700009884353069,7.29,2.055,4.07525424071103,1,0,1,0,-0.65,0,0
"155","3962",0,0,87,16,0.5,1,1.3,1.69,0,2.9,2.055,4.07525424071103,1,1,0,0,0.1,0,0
"156","7309",0,0,30,15,5,1,4.5,20.25,0.332967032967033,11.76,2.055,4.07525424071103,0,0,0.159,0.434,-0.1,0,0
"157","5514",0,0,52,9,3.66666666666667,0,0.8,0.64,0.602780536246276,3.4,1.981,2.1156950481765,0,0,1,0,0.1,1,0.0833333333333333
"158","4288",0,0,51,9,0.5,1,1.5,2.25,0.332967032967033,10.56,1.981,2.1156950481765,1,0.12,0.34,0.479,0.1,0,0
"159","3473",0,0,50,9,3,1,0.3,0.09,0.857344632768362,1.96,1.981,2.1156950481765,0,0,1,0,-0.65,0,0
"160","7405",0,0,62,9,3,1,1,1,0,1.54,1.981,2.1156950481765,0,0.315,0.479,0,0.2,0,0
"161","9702",0,0,60,16,0.6,1,4.7,22.09,0.066561223144853,11.65,1.981,2.1156950481765,0,0,0,1,0.05,0,0
"162","1966",0,0,58,7,2,1,1.2,1.44,0,1.12,1.981,2.1156950481765,0,0.333,0.333,0,-0.65,0,0
"163","2591",0,0,80,7,0.5,0,0.5,0.25,0,1.64,1.981,2.1156950481765,1,0,0,0,0.1,0,0
"164","5333",0,0,27,15,4,1,1.2,1.44,0,6.79,1.981,2.1156950481765,1,0,0,1,-0.4,0,0
"165","4641",0,0,39,9,4,0,0.3,0.09,0,1.28,1.981,2.1156950481765,0,1,0,0,0,0,0
"166","1658",0,0,33,9,7,0,0.7,0.49,0.176224264278237,5.15,2.058,3.93435914521133,1,0,0,0,0.05,0,0
"167","5476",0,0,61,15,1,1,0.86,0.7396,0,9.79,2.058,3.93435914521133,1,0,0,1,0,0,0
"168","6524",0,0,84,7,2,1,0.3,0.09,0,1.97,2.058,3.93435914521133,1,0,1,0,0.05,0,0
"169","3407",0,0,37,12,2,1,1.1,1.21,0.142655367231638,2.91,2.058,3.93435914521133,1,0,0,1,-0.35,0,0
"170","2477",0,0,52,7,3,1,0.4,0.16,0,1.44,2.058,3.93435914521133,0,1,0,0,-0.1,0,0
"171","2053",0,0,56,7,4,0,0.6,0.36,0.332967032967033,0.55,2.058,3.93435914521133,1,0.22,0.399,0,0.05,0,0
"172","8718",0,0,49,16,1.33333333333333,1,6.5,42.25,0.030140256639809,7.32,2.058,3.93435914521133,1,0.251,0.199,0.467,-0.1,0,0
"173","7742",0,0,42,7,7,0,0.3,0.09,0.75,2.64,2.058,3.93435914521133,0,0,0,0,0.05,0,0
"174","9117",0,0,50,9,6,0,0.4,0.16,0,1.54,2.058,3.93435914521133,0,0.667,0,0,0,0,0
